device_instance,device_address,object_type,object_instance,object_name,description,present_value,units,site_id,building_id,system_id,brick_class,brick_tag,enabled,poll_interval_s,point_id,series_id
5007,2000:7@192.168.204.200,analog-value,10011,STAT ZN WC-ADJ,Warmer/Cooler Request,67.58999633789062,degrees-fahrenheit,demo,bens-office,unknown,,,0,,5007-analog-value-10011,demo#bens-office#unknown#5007-analog-value-10011
5007,2000:7@192.168.204.200,analog-value,10012,Priority,,16.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-10012,demo#bens-office#unknown#5007-analog-value-10012
5007,2000:7@192.168.204.200,analog-value,10013,O1,,67.58999633789062,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-10013,demo#bens-office#unknown#5007-analog-value-10013
5007,2000:7@192.168.204.200,analog-value,10015,Priority,,0.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-10015,demo#bens-office#unknown#5007-analog-value-10015
5007,2000:7@192.168.204.200,analog-value,10016,O1,,75.38003540039062,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-10016,demo#bens-office#unknown#5007-analog-value-10016
5007,2000:7@192.168.204.200,analog-value,10021,Priority,,0.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-10021,demo#bens-office#unknown#5007-analog-value-10021
5007,2000:7@192.168.204.200,analog-value,10025,Priority,,16.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-10025,demo#bens-office#unknown#5007-analog-value-10025
5007,2000:7@192.168.204.200,analog-value,10028,Priority,,16.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-10028,demo#bens-office#unknown#5007-analog-value-10028
5007,2000:7@192.168.204.200,analog-value,10031,Priority,,16.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-10031,demo#bens-office#unknown#5007-analog-value-10031
5007,2000:7@192.168.204.200,analog-value,10033,I1,,0.0,percent,demo,bens-office,unknown,,,0,,5007-analog-value-10033,demo#bens-office#unknown#5007-analog-value-10033
5007,2000:7@192.168.204.200,analog-value,10034,Priority,,16.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-10034,demo#bens-office#unknown#5007-analog-value-10034
5007,2000:7@192.168.204.200,analog-value,10036,I1,,0.0,percent,demo,bens-office,unknown,,,0,,5007-analog-value-10036,demo#bens-office#unknown#5007-analog-value-10036
5007,2000:7@192.168.204.200,analog-value,10037,Priority,,16.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-10037,demo#bens-office#unknown#5007-analog-value-10037
5007,2000:7@192.168.204.200,analog-value,10039,I1,,0.0,percent,demo,bens-office,unknown,,,0,,5007-analog-value-10039,demo#bens-office#unknown#5007-analog-value-10039
5007,2000:7@192.168.204.200,analog-value,10040,Priority,,16.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-10040,demo#bens-office#unknown#5007-analog-value-10040
5007,2000:7@192.168.204.200,analog-value,169012,O1,,40.14582824707031,percent-relative-humidity,demo,bens-office,unknown,,,0,,5007-analog-value-169012,demo#bens-office#unknown#5007-analog-value-169012
5007,2000:7@192.168.204.200,analog-value,169013,Priority,,0.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-169013,demo#bens-office#unknown#5007-analog-value-169013
5007,2000:7@192.168.204.200,analog-value,169020,O1,,73.98918914794922,degrees-fahrenheit,demo,bens-office,unknown,,,0,,5007-analog-value-169020,demo#bens-office#unknown#5007-analog-value-169020
5007,2000:7@192.168.204.200,analog-value,169021,Priority,,0.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-169021,demo#bens-office#unknown#5007-analog-value-169021
5007,2000:7@192.168.204.200,analog-value,169030,O1,,72.54479217529297,degrees-fahrenheit,demo,bens-office,unknown,,,0,,5007-analog-value-169030,demo#bens-office#unknown#5007-analog-value-169030
5007,2000:7@192.168.204.200,analog-value,169031,Priority,,0.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-169031,demo#bens-office#unknown#5007-analog-value-169031
5007,2000:7@192.168.204.200,analog-value,169040,O1,,66.10320281982422,degrees-fahrenheit,demo,bens-office,unknown,,,0,,5007-analog-value-169040,demo#bens-office#unknown#5007-analog-value-169040
5007,2000:7@192.168.204.200,analog-value,169041,Priority,,0.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-169041,demo#bens-office#unknown#5007-analog-value-169041
5007,2000:7@192.168.204.200,analog-value,237957,Priority,,16.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-237957,demo#bens-office#unknown#5007-analog-value-237957
5007,2000:7@192.168.204.200,analog-value,237958,I1,,0.0,percent,demo,bens-office,unknown,,,0,,5007-analog-value-237958,demo#bens-office#unknown#5007-analog-value-237958
5007,2000:7@192.168.204.200,analog-value,238001,O1,,-0.13674502074718475,inches-of-water,demo,bens-office,unknown,,,0,,5007-analog-value-238001,demo#bens-office#unknown#5007-analog-value-238001
5007,2000:7@192.168.204.200,analog-value,238002,Priority,,0.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-238002,demo#bens-office#unknown#5007-analog-value-238002
5007,2000:7@192.168.204.200,analog-value,238198,Priority,,0.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-238198,demo#bens-office#unknown#5007-analog-value-238198
5007,2000:7@192.168.204.200,binary-input,9429,CURRENT-S,CURRENT SENSING DONUT,inactive,,demo,bens-office,unknown,,,0,,5007-binary-input-9429,demo#bens-office#unknown#5007-binary-input-9429
5007,2000:7@192.168.204.200,binary-input,10020,BI8-S,INPUT 8 STATUS,inactive,,demo,bens-office,unknown,,,0,,5007-binary-input-10020,demo#bens-office#unknown#5007-binary-input-10020
5007,2000:7@192.168.204.200,binary-output,10005,RIBRELAY1- C,RIB RELAY #1 COMMAND,inactive,,demo,bens-office,unknown,,,0,,5007-binary-output-10005,demo#bens-office#unknown#5007-binary-output-10005
5007,2000:7@192.168.204.200,binary-output,10008,RIBRELAY#2-C,RIB RELAY #2 COMMAND,inactive,,demo,bens-office,unknown,,,0,,5007-binary-output-10008,demo#bens-office#unknown#5007-binary-output-10008
5007,2000:7@192.168.204.200,binary-output,10023,BO3-C,B03 COMMAND,inactive,,demo,bens-office,unknown,,,0,,5007-binary-output-10023,demo#bens-office#unknown#5007-binary-output-10023
5007,2000:7@192.168.204.200,binary-output,10026,C04-DRY-C,C04 DRY CONTACT COMMAND,inactive,,demo,bens-office,unknown,,,0,,5007-binary-output-10026,demo#bens-office#unknown#5007-binary-output-10026
5007,2000:7@192.168.204.200,binary-output,10029,C05-DRY-C,C05 DRY CONTACT COMMAND,inactive,,demo,bens-office,unknown,,,0,,5007-binary-output-10029,demo#bens-office#unknown#5007-binary-output-10029
5007,2000:7@192.168.204.200,binary-value,10001,I2,,inactive,,demo,bens-office,unknown,,,0,,5007-binary-value-10001,demo#bens-office#unknown#5007-binary-value-10001
5007,2000:7@192.168.204.200,binary-value,10002,O2,,inactive,,demo,bens-office,unknown,,,0,,5007-binary-value-10002,demo#bens-office#unknown#5007-binary-value-10002
5007,2000:7@192.168.204.200,file,1,8-1/Boot,,,,demo,bens-office,unknown,,,0,,5007-file-1,demo#bens-office#unknown#5007-file-1
5007,2000:7@192.168.204.200,file,2,8-1/Main,,,,demo,bens-office,unknown,,,0,,5007-file-2,demo#bens-office#unknown#5007-file-2
5007,2000:7@192.168.204.200,file,3,8-1/Archive,,,,demo,bens-office,unknown,,,0,,5007-file-3,demo#bens-office#unknown#5007-file-3
5007,2000:7@192.168.204.200,file,11,8-1/Static,,,,demo,bens-office,unknown,,,0,,5007-file-11,demo#bens-office#unknown#5007-file-11
5007,2000:7@192.168.204.200,file,12,8-1/Dynamic,,,,demo,bens-office,unknown,,,0,,5007-file-12,demo#bens-office#unknown#5007-file-12
5007,2000:7@192.168.204.200,file,25,8-1/FLASH_MEMORY,,,,demo,bens-office,unknown,,,0,,5007-file-25,demo#bens-office#unknown#5007-file-25
5007,2000:7@192.168.204.200,multi-state-value,10003,O1,,1,,demo,bens-office,unknown,,,0,,5007-multi-state-value-10003,demo#bens-office#unknown#5007-multi-state-value-10003
5007,2000:7@192.168.204.200,multi-state-value,10004,I1,,1,,demo,bens-office,unknown,,,0,,5007-multi-state-value-10004,demo#bens-office#unknown#5007-multi-state-value-10004
5007,2000:7@192.168.204.200,multi-state-value,10006,I1,,1,,demo,bens-office,unknown,,,0,,5007-multi-state-value-10006,demo#bens-office#unknown#5007-multi-state-value-10006
5007,2000:7@192.168.204.200,multi-state-value,10009,I1,,1,,demo,bens-office,unknown,,,0,,5007-multi-state-value-10009,demo#bens-office#unknown#5007-multi-state-value-10009
5007,2000:7@192.168.204.200,multi-state-value,10022,O1,,1,,demo,bens-office,unknown,,,0,,5007-multi-state-value-10022,demo#bens-office#unknown#5007-multi-state-value-10022
5007,2000:7@192.168.204.200,multi-state-value,10024,I1,,1,,demo,bens-office,unknown,,,0,,5007-multi-state-value-10024,demo#bens-office#unknown#5007-multi-state-value-10024
5007,2000:7@192.168.204.200,multi-state-value,10027,I1,,1,,demo,bens-office,unknown,,,0,,5007-multi-state-value-10027,demo#bens-office#unknown#5007-multi-state-value-10027
5007,2000:7@192.168.204.200,multi-state-value,10030,I1,,1,,demo,bens-office,unknown,,,0,,5007-multi-state-value-10030,demo#bens-office#unknown#5007-multi-state-value-10030
5007,2000:7@192.168.204.200,multi-state-value,238197,O1,,1,,demo,bens-office,unknown,,,0,,5007-multi-state-value-238197,demo#bens-office#unknown#5007-multi-state-value-238197
